abandon	loại bỏ
animal	động vật
as	như
black	màu đen
blue	màu xanh nước biển
city	thành phố
day	ngày
earth	đất
eight	tám
eye	mắt
father	bố
five	năm
food	thực phẩm
four	bốn
from	từ
good bye	chào tạm biệt
grape	quả nho
gray	màu xám
green	màu xanh lá cây
hello	bạn
his	anh ta
home	nhà
house	ngôi nhà
mother	mẹ
near	gần
nine	chín
one	một
or	hoặc
pineapple	quả dứa
purple	màu tím
red	màu đỏ
sad	vui
school	trường học
seven	bảy
six	sáu
ten	mười
three	ba
tree	cây
two	hai
white	màu trắng
yellow	màu vàng
you	bạn
